Zaman damgası,  Yaşınızı belirtiniz:  ,  Şu anki en yüksek eğitim durumunuz nedir?  ,  Hangi Yapay Zekâ araçlarının ismini duydunuz ve/veya kullandınız?  ,Yapay Zekâ araçlarını (hepsi dahil) ortalama ne sıklıkla kullanıyorsunuz? (Lütfen size en uygun olanı seçiniz.),"Yapay Zekâ araçlarından elde ettiğiniz çıktıların (cevap, metin, kod vb.) doğruluğuna ve güvenilirliğine ne kadar güveniyorsunuz? (1 = Hiç Güvenmiyorum, 5 = Tamamen Güveniyorum)",  Yapay Zekâ aracının ürettiği çıktıları kullanmadan önce daima (veya çoğunlukla) kontrol eder misiniz?  ,"Yapay Zekâ araçlarını etkin bir şekilde kullanmak için gereken teknik beceriye sahip olduğunuzu düşünüyor musunuz? (1 = Kesinlikle Katılmıyorum, 5 = Kesinlikle Katılıyorum.)",  Yapay zekâ araçlarını kullanmanızdaki temel motivasyonunuz aşağıdakilerden hangisidir?  ,"Önümüzdeki 6 ay içinde Yapay Zekâ araçlarını mesleki veya akademik çalışmalarınızda daha yoğun kullanma niyetiniz hangi düzeydedir? ( 1 = 
Kesinlikle Niyetim Yok , 5 =  Kesinlikle Yüksek Niyetim Var)"
21.12.2025 14:03:49,53,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 42",Ayda birkaç kez,5,"Hayır, genellikle kontrol etmem.",5,"Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 14:03:57,22,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri, 23",Günlük (Birden fazla kez),2,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 14:04:05,52,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 29",Çok nadiren (Ayda 1 kereden az),2,"Hayır, genellikle kontrol etmem.",3,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",4
21.12.2025 15:22:28,25,Ön Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 33",Günlük (Birden fazla kez),4,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 15:22:35,28,Ön Lisans,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 52",Günlük (Birden fazla kez),5,"Evet, daima kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:22:45,26,Yüksek Lisans/Doktora,GitHub Copilot / Diğer Kod Üretici YZ Araçları,Haftada birkaç kez,5,"Evet, daima kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:22:53,22,Yüksek Lisans/Doktora,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 38",Çok nadiren (Ayda 1 kereden az),2,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği",3
21.12.2025 15:23:02,54,Lise veya altı,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Haftada birkaç kez,1,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:23:11,52,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Hiç kullanmıyorum,4,"Hayır, genellikle kontrol etmem.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",1
21.12.2025 15:23:19,52,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 27",Günlük (1 kez),3,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 15:23:28,24,Lise veya altı,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Hiç kullanmıyorum,2,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",2
21.12.2025 15:23:37,30,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), 45",Hiç kullanmıyorum,2,"Evet, daima kontrol ederim.",4,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:23:46,31,Lise veya altı,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 22",Ayda birkaç kez,1,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",5
21.12.2025 15:23:55,34,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri",Hiç kullanmıyorum,2,"Evet, daima kontrol ederim.",2,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:24:04,42,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 49",Günlük (1 kez),1,"Evet, daima kontrol ederim.",5,Merak / Teknolojiyi keşfetme isteği,2
21.12.2025 15:24:13,39,Ön Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 39",Hiç kullanmıyorum,4,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",2
21.12.2025 15:24:21,56,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft)",Haftada birkaç kez,2,"Hayır, genellikle kontrol etmem.",4,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:24:28,33,Lisans,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, 26",Günlük (1 kez),3,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:24:37,35,Lise veya altı,"ChatGPT (OpenAI), Hiçbiri",Haftada birkaç kez,4,"Hayır, genellikle kontrol etmem.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:24:46,55,Lise veya altı,Copilot (Microsoft),Günlük (1 kez),2,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak",2
21.12.2025 15:24:54,51,Ön Lisans,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 42",Çok nadiren (Ayda 1 kereden az),1,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:25:03,42,Lise veya altı,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 53",Ayda birkaç kez,3,"Evet, daima kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",4
21.12.2025 15:25:11,48,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 59",Günlük (Birden fazla kez),3,"Hayır, genellikle kontrol etmem.",2,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:25:21,30,Lise veya altı,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Ayda birkaç kez,2,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak",3
21.12.2025 15:25:29,39,Ön Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), 37",Hiç kullanmıyorum,5,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:25:38,57,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Hiç kullanmıyorum,4,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",2
21.12.2025 15:25:47,23,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft)",Çok nadiren (Ayda 1 kereden az),1,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:25:56,25,Lise veya altı,Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler),Hiç kullanmıyorum,1,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:26:05,27,Lise veya altı,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri",Ayda birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:26:18,20,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Haftada birkaç kez,2,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 15:26:26,43,Lise veya altı,"ChatGPT (OpenAI), Copilot (Microsoft)",Günlük (1 kez),5,"Hayır, genellikle kontrol etmem.",3,"Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:26:35,32,Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Günlük (Birden fazla kez),5,"Evet, daima kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:28:20,55,Ön Lisans,44,Çok nadiren (Ayda 1 kereden az),2,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 15:28:27,55,Ön Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 21",Çok nadiren (Ayda 1 kereden az),5,"Hayır, genellikle kontrol etmem.",3,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",3
21.12.2025 15:29:11,41,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), ",Günlük (Birden fazla kez),5,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:29:19,57,Lise veya altı,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 29",Günlük (Birden fazla kez),5,"Hayır, sadece kritik durumlarda kontrol ederim.",3,İş / Okul görevlerini tamamlamak,1
21.12.2025 15:29:26,20,Lise veya altı,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 25",Haftada birkaç kez,4,"Evet, daima kontrol ederim.",2,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",4
21.12.2025 15:29:33,59,Lise veya altı,"Gemini / Bard (Google), Hiçbiri, 47",Ayda birkaç kez,5,"Evet, daima kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 15:29:41,24,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 42",Hiç kullanmıyorum,4,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:29:49,40,Lisans,"Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 15:29:57,54,Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 28",Hiç kullanmıyorum,4,"Evet, daima kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:30:06,56,Lisans,"ChatGPT (OpenAI), Hiçbiri",Çok nadiren (Ayda 1 kereden az),4,"Evet, daima kontrol ederim.",1,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:30:15,49,Lise veya altı,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 30",Haftada birkaç kez,1,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:30:24,56,Lisans,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 52",Ayda birkaç kez,1,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",2
21.12.2025 15:30:33,42,Ön Lisans,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 24",Çok nadiren (Ayda 1 kereden az),4,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:30:42,59,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Hiçbiri",Çok nadiren (Ayda 1 kereden az),4,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",1
21.12.2025 15:30:51,22,Ön Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), Hiçbiri",Günlük (Birden fazla kez),4,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:31:00,45,Lisans,"Gemini / Bard (Google), Copilot (Microsoft), 21",Çok nadiren (Ayda 1 kereden az),3,"Evet, daima kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",4
21.12.2025 15:31:10,25,Yüksek Lisans/Doktora,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (1 kez),3,"Hayır, genellikle kontrol etmem.",1,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:31:18,45,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri, 32",Haftada birkaç kez,3,"Evet, daima kontrol ederim.",4,Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak,5
21.12.2025 15:31:28,45,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 48",Hiç kullanmıyorum,1,"Evet, daima kontrol ederim.",2,İş / Okul görevlerini tamamlamak,3
21.12.2025 15:31:36,57,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), 31",Günlük (1 kez),2,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:31:45,56,Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri",Günlük (Birden fazla kez),1,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",2
21.12.2025 15:31:54,41,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri",Haftada birkaç kez,3,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:32:04,40,Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 30",Hiç kullanmıyorum,4,"Hayır, genellikle kontrol etmem.",2,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:32:57,29,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 47",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",2,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:33:05,25,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), 57",Ayda birkaç kez,4,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:33:15,43,Ön Lisans,"Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 54",Haftada birkaç kez,1,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:33:24,32,Ön Lisans,Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler),Günlük (1 kez),2,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",5
21.12.2025 15:33:33,50,Ön Lisans,"Copilot (Microsoft), Hiçbiri, 26",Ayda birkaç kez,2,"Evet, daima kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:33:42,51,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 60",Günlük (Birden fazla kez),3,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:33:51,50,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (Birden fazla kez),1,"Hayır, genellikle kontrol etmem.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:34:00,59,Ön Lisans,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Hiç kullanmıyorum,4,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:34:09,51,Lisans,Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler),Çok nadiren (Ayda 1 kereden az),1,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",1
21.12.2025 15:34:18,43,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Haftada birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",5,Merak / Teknolojiyi keşfetme isteği,3
21.12.2025 15:34:27,46,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google)",Günlük (1 kez),3,"Hayır, genellikle kontrol etmem.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",1
21.12.2025 15:34:36,28,Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Hiç kullanmıyorum,2,"Evet, daima kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:34:45,58,Lisans,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 35",Günlük (1 kez),5,"Evet, daima kontrol ederim.",5,İş / Okul görevlerini tamamlamak,5
21.12.2025 15:34:54,38,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 32",Çok nadiren (Ayda 1 kereden az),4,"Hayır, genellikle kontrol etmem.",1,İş / Okul görevlerini tamamlamak,4
21.12.2025 15:35:03,29,Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 38",Hiç kullanmıyorum,2,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",4
21.12.2025 15:39:45,58,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google)",Hiç kullanmıyorum,3,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:39:53,34,Ön Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 32",Haftada birkaç kez,2,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:40:06,34,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Ayda birkaç kez,5,"Evet, daima kontrol ederim.",5,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:40:18,55,Lisans,"Hiçbiri, 27",Ayda birkaç kez,2,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:40:31,48,Lise veya altı,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Ayda birkaç kez,4,"Hayır, genellikle kontrol etmem.",3,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:40:48,23,Lise veya altı,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 50",Günlük (Birden fazla kez),3,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
